Date,Price,Open,High,Low,Chg%
2011-10-12,1681.3,1667.1,1691,1665.9,0.013
2011-10-13,1667.3,1676.1,1678.8,1656.2,-0.0083
2011-10-14,1681.8,1665.8,1683.3,1665.8,0.0087
2011-10-17,1675.5,1683.6,1693.5,1667.3,-0.0037
2011-10-18,1651.7,1666,1666,1627.5,-0.0142
2011-10-19,1646,1659.3,1659.3,1641,-0.0035
2011-10-20,1611.9,1643.2,1643.8,1608.7,-0.0207
2011-10-21,1635.1,1626.1,1647.4,1626.1,0.0144
2011-10-24,1651.5,1646.2,1657.8,1638.8,0.01
2011-10-25,1699.6,1645,1706.8,1645,0.0291
2011-10-26,1722.7,1717,1723.6,1708.9,0.0136
2011-10-27,1746.7,1717.8,1735.5,1717.8,0.0139
2011-10-28,1746.2,1752,1752,1733,-0.0003
2011-10-31,1724.2,1741.9,1741.9,1716,-0.0126
2011-11-01,1711,1706.7,1720.1,1682.5,-0.0077
2011-11-02,1728.7,1724.3,1741.4,1723.2,0.0103
2011-11-03,1764.2,1740.5,1766,1726.6,0.0205
2011-11-04,1755.3,1757,1761.2,1754.9,-0.005
2011-11-07,1790.3,1771.5,1797,1768.7,0.0199
2011-11-08,1798.4,1785.7,1785.7,1785.7,0.0045
2011-11-09,1790.9,1793,1793,1774.2,-0.0042
2011-11-10,1758.9,1766.8,1766.8,1754.8,-0.0179
2011-11-11,1787.5,1777,1789.5,1777,0.0163
2011-11-14,1777.8,1779,1779,1779,-0.0054
2011-11-15,1781.7,1779.2,1783.1,1761.3,0.0022
2011-11-16,1773.8,1777.5,1777.5,1757.7,-0.0044
2011-11-17,1719.8,1755.3,1755.3,1714,-0.0304
2011-11-18,1724.7,1725,1736,1719,0.0028
2011-11-21,1678.3,1704.6,1704.6,1674.4,-0.0269
2011-11-22,1702.2,1675.4,1679.8,1675.4,0.0142
2011-11-23,1695.7,1691.2,1700,1681.6,-0.0038
2011-11-25,1685.5,1690.1,1693.5,1675.3,-0.006
2011-11-28,1710.8,1710.8,1710.8,1710.8,0.015
2011-11-29,1713.4,1711.3,1718.4,1704,0.0015
2011-11-30,1745.5,1714,1749.2,1699.9,0.0187
2011-12-01,1735.3,1747,1753.3,1734.5,-0.0058
2011-12-02,1747,1744.8,1762.9,1741.6,0.0067
2011-12-05,1730.7,1748.9,1752.6,1718.7,-0.0093
2011-12-06,1727.9,1722.1,1731.8,1703,-0.0016
2011-12-07,1740.9,1730.6,1741.9,1720,0.0075
2011-12-08,1709.8,1742,1752.3,1705.4,-0.0179
2011-12-09,1712.8,1713.3,1720.7,1705.7,0.0018
2011-12-12,1664.2,1707.5,1708.2,1658.5,-0.0284
2011-12-13,1659.9,1654.7,1671.8,1628,-0.0026
2011-12-14,1584.3,1636.5,1639.5,1565.8,-0.0455
2011-12-15,1574.6,1571.4,1592.8,1565.6,-0.0061
2011-12-16,1595.6,1587.4,1595.9,1586,0.0133
2011-12-19,1594.4,1596.4,1603.4,1589.7,-0.0008
2011-12-20,1615.6,1596.4,1617,1596.4,0.0133
2011-12-21,1611.9,1615.6,1635,1608.3,-0.0023
2011-12-22,1608.9,1608.8,1610,1601.9,-0.0019
2011-12-23,1604.7,1612,1612.8,1605.8,-0.0026
2011-12-27,1594.2,1599,1599,1592.6,-0.0065
2011-12-28,1562.9,1584.9,1588.6,1561.3,-0.0196
2011-12-29,1539.9,1559.3,1559.3,1525,-0.0147
2011-12-30,1565.8,1549.4,1579.5,1547.9,0.0168
2012-01-03,1599.7,1568.9,1604.3,1566,0.0217
2012-01-04,1611.9,1596.6,1618.6,1594.5,0.0076
2012-01-05,1619.4,1610.8,1624.1,1597.8,0.0047
2012-01-06,1616.1,1622.5,1627.8,1618.6,-0.002
2012-01-09,1607.5,1614.3,1620.1,1607.8,-0.0053
2012-01-10,1631,1619.9,1639,1619.9,0.0146
2012-01-11,1639.2,1634.8,1645.4,1633.8,0.005
2012-01-12,1647.3,1645.2,1656.1,1645.2,0.0049
2012-01-13,1630.4,1638.9,1643.4,1632.4,-0.0103
2012-01-17,1655.2,1643.7,1657.8,1642.1,0.0152
2012-01-18,1659.5,1654,1660.3,1654,0.0026
2012-01-19,1654.1,1663,1664.4,1653.5,-0.0033
2012-01-20,1663.7,1652.8,1664.3,1652.8,0.0058
2012-01-23,1678,1676.9,1680,1669.9,0.0086
2012-01-24,1664.2,1666.9,1668.2,1664.4,-0.0082
2012-01-25,1699.8,1673,1706.2,1658.3,0.0214
2012-01-26,1726.3,1729,1729,1721,0.0156
2012-01-27,1731.8,1727,1734.1,1724.4,0.0032
2012-01-30,1731,1737.2,1739.9,1715.7,-0.0005
2012-01-31,1737.8,1731.7,1747.7,1725,0.0039
2012-02-01,1747.1,1738.2,1751.1,1734,0.0054
2012-02-02,1756.8,1745.1,1761.1,1742.9,0.0056
2012-02-03,1737.9,1758.7,1761.3,1724.5,-0.0108
2012-02-06,1722.8,1728,1738.3,1713.3,-0.0087
2012-02-07,1746.4,1722,1748,1713.2,0.0137
2012-02-08,1729.3,1744,1751.5,1728.2,-0.0098
2012-02-09,1739,1731.4,1749.7,1726.1,0.0056
2012-02-10,1723.3,1732.7,1734.4,1706.4,-0.009
2012-02-13,1723,1725,1733,1718.4,-0.0002
2012-02-14,1715.9,1720,1724.9,1715,-0.0041
2012-02-15,1726.3,1723.6,1737,1723.6,0.0061
2012-02-16,1726.8,1718.4,1728.4,1707,0.0003
2012-02-17,1724.5,1733.6,1735.1,1718.8,-0.0013
2012-02-21,1757.1,1736.1,1760,1733.6,0.0189
2012-02-22,1770,1758.7,1781.9,1750,0.0073
2012-02-23,1784.9,1774,1786,1773,0.0084
2012-02-24,1775.1,1778.5,1780.7,1771.3,-0.0055
2012-02-27,1773.6,1773.6,1775.6,1768.1,-0.0008
2012-02-28,1787,1767.9,1789.4,1767.9,0.0076
2012-02-29,1709.9,1789.9,1790.4,1669,-0.0431
2012-03-01,1721.1,1698.6,1724.6,1698.6,0.0066
2012-03-02,1708.8,1723,1723,1705.2,-0.0071
2012-03-05,1703,1705.5,1709.5,1695.4,-0.0034
2012-03-06,1671.4,1708.7,1708.7,1666,-0.0186
2012-03-07,1683.3,1676,1684,1673.1,0.0071
2012-03-08,1698.1,1686.4,1702.4,1686.4,0.0088
2012-03-09,1710.9,1698.8,1706,1680.7,0.0075
2012-03-12,1699.2,1708.1,1708.1,1694.9,-0.0068
2012-03-13,1693.7,1698.4,1701.7,1685.1,-0.0032
2012-03-14,1642.5,1676.9,1681,1637.4,-0.0302
2012-03-15,1659.1,1646.3,1660.2,1640,0.0101
2012-03-16,1655.5,1660,1663.4,1641.3,-0.0022
2012-03-19,1666.9,1661.2,1668,1652.1,0.0069
2012-03-20,1646.7,1648.1,1652.3,1642,-0.0121
2012-03-21,1650,1657.8,1660,1646.1,0.002
2012-03-22,1642.3,1648,1649.4,1633.8,-0.0047
2012-03-23,1662.3,1652.5,1665.1,1646.3,0.0122
2012-03-26,1685.5,1665,1692.9,1657.8,0.014
2012-03-27,1684.8,1687.8,1690.8,1684.4,-0.0004
2012-03-28,1657.9,1670.1,1670.1,1665,-0.016
2012-03-29,1652.2,1661.8,1664.5,1644.3,-0.0034
2012-03-30,1669.3,1660.6,1670,1659,0.0103
2012-04-02,1677.5,1670.4,1682.8,1662,0.0049
2012-04-03,1670,1677.6,1679.5,1638.7,-0.0045
2012-04-04,1612.3,1646.5,1647,1613,-0.0346
2012-04-05,1628.5,1620.8,1633.2,1620.4,0.01
2012-04-09,1642.5,1645.3,1646.4,1636.5,0.0086
